Country,# of Subscribers Q1 2021,Average Monthly Revenue per Paying Membership - Q1 2021 ($),Q1 2021 Revenue $,# of Subscribers Q2 2021,Average Monthly Revenue per Paying Membership - Q2 2021 ($),Q2 2021 Revenue $,# of Subscribers Q3 2021 (Estimate),Q3 2021 Revenue $ (Estimate),# of Subscribers Q4 2021 (Estimate),Q4 2021 Revenue $ (Estimate)
Argentina,4.97M,7.39,110.15M,5.07M,7.5,114.06M,5.15M,115.97M,5.24M,117.91M
Australia,6.17M,9.71,179.7M,6.41M,9.74,187.18M,6.51M,190.31M,6.62M,193.5M
Austria,927.42K,11.56,32.16M,930.02K,11.66,32.53M,945.58K,33.08M,961.4K,33.63M
Belgium,1.64M,11.56,56.84M,1.64M,11.66,57.49M,1.67M,58.46M,1.7M,59.43M
Brazil,17.86M,7.39,395.93M,18.22M,7.5,409.98M,18.53M,416.84M,18.84M,423.81M
Bulgaria,171.6K,11.56,5.95M,172.08K,11.66,6.02M,174.96K,6.12M,177.89K,6.22M
Canada,6.71M,14.25,286.81M,6.67M,14.54,290.95M,6.78M,295.82M,6.9M,300.77M
Chile,927.42K,7.39,20.56M,946.24K,7.5,21.29M,962.08K,21.65M,978.17K,22.01M
Colombia,2.68M,7.39,59.35M,2.73M,7.5,61.46M,2.78M,62.48M,2.82M,63.53M
Costa Rica,291.85K,7.39,6.47M,297.78K,7.5,6.7M,302.76K,6.81M,307.83K,6.93M
Croatia,114.95K,11.56,3.99M,115.27K,11.66,4.03M,117.2K,4.1M,119.16K,4.17M
Cyprus,49.2K,11.56,1.71M,49.34K,11.66,1.73M,50.16K,1.75M,51K,1.78M
Czech Republic,455.52K,11.56,15.8M,456.8K,11.66,15.98M,464.44K,16.25M,472.21K,16.52M
Denmark,918.24K,11.56,31.84M,920.81K,11.66,32.21M,936.22K,32.75M,951.88K,33.3M
Estonia,52.46K,11.56,1.82M,52.61K,11.66,1.84M,53.49K,1.87M,54.38K,1.9M
Finland,735.44K,11.56,25.51M,737.5K,11.66,25.8M,749.84K,26.23M,762.39K,26.67M
France,8.34M,11.56,289.39M,8.37M,11.66,292.71M,8.51M,297.61M,8.65M,302.59M
Germany,10.67M,11.56,369.92M,10.7M,11.66,374.16M,10.88M,380.42M,11.06M,386.79M
Greece,516.45K,11.56,17.91M,517.9K,11.66,18.12M,526.56K,18.42M,535.37K,18.73M
Hungary,338.1K,11.56,11.73M,339.05K,11.66,11.86M,344.72K,12.06M,350.49K,12.26M