x,y,name,role,n,xend,yend,weight
0,0.47561302666134264,Rajesh Kava,cast,26,0.2432230950340692,0.01520398199930005,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0.11244339160294592,0.6117090696849887,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0.9982165355971485,0.37182594518228423,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0.7084885819232201,0,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0.43409823693741123,0.9139207012648842,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0.47389561009633496,0.11103863579176036,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0.4455713363907658,0.3201019398257792,40
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.5692094049040997,0.7557504661490386,8
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.5098707720340614,0.31047151633739795,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.4635215590073919,0.8499478444324585,6
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.5339448493379012,0.44638327426999863,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.8875959956898625,0.8424931188383274,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.633478891302545,1,10
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.5224381596746875,0.6462772993343868,2
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.6298551901089289,0.7428430716815869,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.09563429562436829,0.7397089249338475,4
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,1,0.7267189582391343,2
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.10791971719129421,0.22633086500876629,4
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0,0.47561302666134264,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.2432230950340692,0.01520398199930005,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.11244339160294592,0.6117090696849887,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.9982165355971485,0.37182594518228423,2
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.7084885819232201,0,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.43409823693741123,0.9139207012648842,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.47389561009633496,0.11103863579176036,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.4455713363907658,0.3201019398257792,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,1,0.7267189582391343,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.10791971719129421,0.22633086500876629,2
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0,0.47561302666134264,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.2432230950340692,0.01520398199930005,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.11244339160294592,0.6117090696849887,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.9982165355971485,0.37182594518228423,6
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.7084885819232201,0,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.43409823693741123,0.9139207012648842,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.47389561009633496,0.11103863579176036,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.4455713363907658,0.3201019398257792,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0,0.47561302666134264,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.2432230950340692,0.01520398199930005,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.11244339160294592,0.6117090696849887,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.9982165355971485,0.37182594518228423,6
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.7084885819232201,0,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.43409823693741123,0.9139207012648842,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.47389561009633496,0.11103863579176036,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.4455713363907658,0.3201019398257792,NA
0.11244339160294592,0.6117090696849887,Andrea Libman,cast,25,0.9982165355971485,0.37182594518228423,NA
0.11244339160294592,0.6117090696849887,Andrea Libman,cast,25,0.7084885819232201,0,NA
0.11244339160294592,0.6117090696849887,Andrea Libman,cast,25,0.43409823693741123,0.9139207012648842,NA
0.11244339160294592,0.6117090696849887,Andrea Libman,cast,25,0.47389561009633496,0.11103863579176036,NA
0.11244339160294592,0.6117090696849887,Andrea Libman,cast,25,0.4455713363907658,0.3201019398257792,NA
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.11244339160294592,0.6117090696849887,22
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.9982165355971485,0.37182594518228423,NA
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.7084885819232201,0,NA
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.43409823693741123,0.9139207012648842,NA
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.47389561009633496,0.11103863579176036,NA
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.4455713363907658,0.3201019398257792,NA
0.43409823693741123,0.9139207012648842,Samuel L. Jackson,cast,24,0.47389561009633496,0.11103863579176036,NA
0.43409823693741123,0.9139207012648842,Samuel L. Jackson,cast,24,0.4455713363907658,0.3201019398257792,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.5339448493379012,0.44638327426999863,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.8875959956898625,0.8424931188383274,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.633478891302545,1,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.5224381596746875,0.6462772993343868,2
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.6298551901089289,0.7428430716815869,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.09563429562436829,0.7397089249338475,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,1,0.7267189582391343,2
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.10791971719129421,0.22633086500876629,2
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0,0.47561302666134264,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.2432230950340692,0.01520398199930005,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.11244339160294592,0.6117090696849887,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.9982165355971485,0.37182594518228423,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.7084885819232201,0,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.43409823693741123,0.9139207012648842,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.47389561009633496,0.11103863579176036,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.4455713363907658,0.3201019398257792,NA
0.47389561009633496,0.11103863579176036,Fred Tatasciore,cast,23,0.4455713363907658,0.3201019398257792,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.4635215590073919,0.8499478444324585,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.5339448493379012,0.44638327426999863,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.8875959956898625,0.8424931188383274,62
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.633478891302545,1,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.5224381596746875,0.6462772993343868,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.6298551901089289,0.7428430716815869,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.09563429562436829,0.7397089249338475,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,1,0.7267189582391343,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.10791971719129421,0.22633086500876629,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0,0.47561302666134264,48
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.2432230950340692,0.01520398199930005,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.11244339160294592,0.6117090696849887,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.9982165355971485,0.37182594518228423,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.7084885819232201,0,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.43409823693741123,0.9139207012648842,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.47389561009633496,0.11103863579176036,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.4455713363907658,0.3201019398257792,42
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.6298551901089289,0.7428430716815869,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.09563429562436829,0.7397089249338475,4
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,1,0.7267189582391343,6
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.10791971719129421,0.22633086500876629,4
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0,0.47561302666134264,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.2432230950340692,0.01520398199930005,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.11244339160294592,0.6117090696849887,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.9982165355971485,0.37182594518228423,8
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.7084885819232201,0,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.43409823693741123,0.9139207012648842,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.47389561009633496,0.11103863579176036,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.4455713363907658,0.3201019398257792,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.8875959956898625,0.8424931188383274,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.633478891302545,1,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.5224381596746875,0.6462772993343868,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.6298551901089289,0.7428430716815869,26
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.09563429562436829,0.7397089249338475,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,1,0.7267189582391343,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.10791971719129421,0.22633086500876629,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0,0.47561302666134264,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.2432230950340692,0.01520398199930005,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.11244339160294592,0.6117090696849887,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.9982165355971485,0.37182594518228423,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.7084885819232201,0,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.43409823693741123,0.9139207012648842,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.47389561009633496,0.11103863579176036,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.4455713363907658,0.3201019398257792,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.5098707720340614,0.31047151633739795,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.4635215590073919,0.8499478444324585,8
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.5339448493379012,0.44638327426999863,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.8875959956898625,0.8424931188383274,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.633478891302545,1,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.5224381596746875,0.6462772993343868,6
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.6298551901089289,0.7428430716815869,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.09563429562436829,0.7397089249338475,6
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,1,0.7267189582391343,4
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.10791971719129421,0.22633086500876629,10
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0,0.47561302666134264,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.2432230950340692,0.01520398199930005,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.11244339160294592,0.6117090696849887,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.9982165355971485,0.37182594518228423,6
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.7084885819232201,0,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.43409823693741123,0.9139207012648842,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.47389561009633496,0.11103863579176036,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.4455713363907658,0.3201019398257792,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.09563429562436829,0.7397089249338475,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,1,0.7267189582391343,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.10791971719129421,0.22633086500876629,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0,0.47561302666134264,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.2432230950340692,0.01520398199930005,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.11244339160294592,0.6117090696849887,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.9982165355971485,0.37182594518228423,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.7084885819232201,0,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.43409823693741123,0.9139207012648842,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.47389561009633496,0.11103863579176036,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.4455713363907658,0.3201019398257792,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.5224381596746875,0.6462772993343868,4
0.633478891302545,1,Akshay Kumar,cast,30,0.6298551901089289,0.7428430716815869,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.09563429562436829,0.7397089249338475,NA
0.633478891302545,1,Akshay Kumar,cast,30,1,0.7267189582391343,14
0.633478891302545,1,Akshay Kumar,cast,30,0.10791971719129421,0.22633086500876629,NA
0.633478891302545,1,Akshay Kumar,cast,30,0,0.47561302666134264,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.2432230950340692,0.01520398199930005,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.11244339160294592,0.6117090696849887,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.9982165355971485,0.37182594518228423,6
0.633478891302545,1,Akshay Kumar,cast,30,0.7084885819232201,0,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.43409823693741123,0.9139207012648842,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.47389561009633496,0.11103863579176036,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.4455713363907658,0.3201019398257792,NA
0.7084885819232201,0,John Cleese,cast,24,0.43409823693741123,0.9139207012648842,NA
0.7084885819232201,0,John Cleese,cast,24,0.47389561009633496,0.11103863579176036,NA
0.7084885819232201,0,John Cleese,cast,24,0.4455713363907658,0.3201019398257792,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.633478891302545,1,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.5224381596746875,0.6462772993343868,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.6298551901089289,0.7428430716815869,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.09563429562436829,0.7397089249338475,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,1,0.7267189582391343,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.10791971719129421,0.22633086500876629,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0,0.47561302666134264,44
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.2432230950340692,0.01520398199930005,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.11244339160294592,0.6117090696849887,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.9982165355971485,0.37182594518228423,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.7084885819232201,0,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.43409823693741123,0.9139207012648842,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.47389561009633496,0.11103863579176036,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.4455713363907658,0.3201019398257792,40
0.9982165355971485,0.37182594518228423,Kareena Kapoor,cast,25,0.7084885819232201,0,NA
0.9982165355971485,0.37182594518228423,Kareena Kapoor,cast,25,0.43409823693741123,0.9139207012648842,NA
0.9982165355971485,0.37182594518228423,Kareena Kapoor,cast,25,0.47389561009633496,0.11103863579176036,NA
0.9982165355971485,0.37182594518228423,Kareena Kapoor,cast,25,0.4455713363907658,0.3201019398257792,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.10791971719129421,0.22633086500876629,6
1,0.7267189582391343,Paresh Rawal,cast,28,0,0.47561302666134264,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.2432230950340692,0.01520398199930005,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.11244339160294592,0.6117090696849887,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.9982165355971485,0.37182594518228423,4
1,0.7267189582391343,Paresh Rawal,cast,28,0.7084885819232201,0,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.43409823693741123,0.9139207012648842,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.47389561009633496,0.11103863579176036,NA
1,0.7267189582391343,Paresh Rawal,cast,28,0.4455713363907658,0.3201019398257792,NA
0.05942620115536916,0.17958753242355413,Anupam Kher,cast,43,0.05942620115536916,0.17958753242355413,NA
0.5692094049040997,0.7557504661490386,Shah Rukh Khan,cast,35,0.5692094049040997,0.7557504661490386,NA
0.5098707720340614,0.31047151633739795,Julie Tejwani,cast,33,0.5098707720340614,0.31047151633739795,NA
0.4635215590073919,0.8499478444324585,Naseeruddin Shah,cast,32,0.4635215590073919,0.8499478444324585,NA
0.5339448493379012,0.44638327426999863,Takahiro Sakurai,cast,32,0.5339448493379012,0.44638327426999863,NA
0.8875959956898625,0.8424931188383274,Rupa Bhimani,cast,31,0.8875959956898625,0.8424931188383274,NA
0.633478891302545,1,Akshay Kumar,cast,30,0.633478891302545,1,NA
0.5224381596746875,0.6462772993343868,Om Puri,cast,30,0.5224381596746875,0.6462772993343868,NA
0.6298551901089289,0.7428430716815869,Yuki Kaji,cast,29,0.6298551901089289,0.7428430716815869,NA
0.09563429562436829,0.7397089249338475,Amitabh Bachchan,cast,28,0.09563429562436829,0.7397089249338475,NA
1,0.7267189582391343,Paresh Rawal,cast,28,1,0.7267189582391343,NA
0.10791971719129421,0.22633086500876629,Boman Irani,cast,27,0.10791971719129421,0.22633086500876629,NA
0,0.47561302666134264,Rajesh Kava,cast,26,0,0.47561302666134264,NA
0.2432230950340692,0.01520398199930005,Vincent Tong,cast,26,0.2432230950340692,0.01520398199930005,NA
0.11244339160294592,0.6117090696849887,Andrea Libman,cast,25,0.11244339160294592,0.6117090696849887,NA
0.9982165355971485,0.37182594518228423,Kareena Kapoor,cast,25,0.9982165355971485,0.37182594518228423,NA
0.7084885819232201,0,John Cleese,cast,24,0.7084885819232201,0,NA
0.43409823693741123,0.9139207012648842,Samuel L. Jackson,cast,24,0.43409823693741123,0.9139207012648842,NA
0.47389561009633496,0.11103863579176036,Fred Tatasciore,cast,23,0.47389561009633496,0.11103863579176036,NA
0.4455713363907658,0.3201019398257792,Jigna Bhardwaj,cast,23,0.4455713363907658,0.3201019398257792,NA
